id,title,title_en,artist_name,price,category,medium,size_cm,description,description_en,status,stock,created_year,tags,image_filename
1,어둠 속의 빛,Light in Darkness,작가미상,180000,일러스트,캔버스 프린트,A3 (30x42cm),"폭풍우치는 바다 위, 거대한 얼굴 형상 앞에 선 소녀. 황금빛 물체를 들고 어둠과 마주한 강인한 존재감이 인상적인 흑백 일러스트.","A girl stands before a giant face amid stormy seas, holding a golden object.",available,1,2023,흑백|일러스트|판타지|감성,artwork_01.jpg
2,황야의 탐험가,Explorer of the Wild,작가미상,220000,일러스트,알루미늄 패널 프린트,A3 (30x42cm),노란 우비를 입은 고양이 탐험가가 어두운 숲 속에서 랜턴을 들고 앞을 나아가는 신비로운 일러스트.,A cat explorer in a yellow raincoat holds a lantern through a dark mystical forest.,available,1,2023,고양이|판타지|모험|신비,artwork_02.jpg
3,보물찾기,Treasure Hunt,작가미상,200000,일러스트,액자 프린트,A3 액자 (30x42cm),황금을 찾아서,In Search of Gold,available,1,2023,판타지|보물|일러스트|모험,artwork_03.jpg
4,어린왕자와 여우,The Little Prince and the Fox,작가미상,150000,페인팅,캔버스 유화,A3 (30x42cm),황금빛 노을 아래 어린왕자와 여우가 나란히 앉아 석양을 바라보는 따뜻한 장면.,"The Little Prince and the Fox sit together watching a golden sunset.",available,1,2023,어린왕자|노을|감성|명작,artwork_04.jpg
5,세빈이와 태건이,Sebin and Taegeon,작가미상,300000,드로잉,종이에 펜,A4 액자 (21x30cm),"2011년 3월 31일에 그려진 이세빈, 이태건 두 아이의 정감 어린 초상화.","A heartfelt portrait of two children, Sebin and Taegeon, drawn on March 31, 2011.",available,1,2011,초상화|드로잉|가족|빈티지,artwork_05.jpg
6,별새와 세계의 죄인,Bird Star & Sinner of the World,작가미상,120000,포스터 세트,아트 포스터,A3 (30x42cm),영화 '별새'와 '세계의 죄인' 등 감성적인 한국 독립영화 포스터 컬렉션.,"Collection of atmospheric Korean indie film posters including Bird Star and Sinner of the World.",available,1,2023,영화|포스터|한국영화|인디,artwork_06.jpg
7,모리아티의 초대,Moriarty's Invitation,작가미상,130000,포스터 세트,아트 포스터,A3 (30x42cm),BBC 셜록의 악당 짐 모리아티 WANTED 포스터와 London Confidential 일러스트 2종 세트.,BBC Sherlock's Jim Moriarty WANTED poster and London Confidential illustration set.,available,1,2023,셜록|팬아트|포스터|BBC,artwork_07.jpg
8,모리아티 컬렉션 선반,Moriarty Shelf Collection,작가미상,450000,피규어 컬렉션,혼합매체,선반 디스플레이,"BBC 셜록 모리아티 캐릭터 중심의 희귀 피규어, 쿠션, 아크릴 스탠드, 굿즈 컬렉션.","Rare BBC Sherlock Moriarty figures, cushions, acrylic stands, and merchandise.",available,1,2023,셜록|모리아티|피규어|컬렉션,artwork_08.jpg
9,쿠잔 피규어 컬렉션,Kuzan Figure Collection,작가미상,380000,피규어 컬렉션,혼합매체,선반 디스플레이,원피스 쿠잔(아오키지) 전용 피규어 대형 컬렉션. 다양한 포즈와 크기의 피규어 10여 점.,One Piece Kuzan (Aokiji) dedicated figure collection with 10+ figures in various poses and sizes.,available,1,2023,원피스|쿠잔|피규어|애니,artwork_09.jpg
10,고양이 커플,Cat Couple,작가미상,110000,페인팅,크라프트지에 수채화,A4 (21x30cm),크라프트지 위 핑크/청록 고양이와 꽃 수채화,Vibrant watercolor on kraft paper depicting a pink and teal cat couple with flowers.,available,1,2023,고양이|수채화|크라프트|귀여움,artwork_10.jpg
11,쿠잔 피규어 컬렉션2,Kuzan Figure Collection 2,작가미상,380000,피규어 컬렉션,혼합매체,선반 디스플레이,다시보기,Review of Kuzan Figure Collection,available,1,2023,원피스|쿠잔|피규어|컬렉션,artwork_11.jpg
